DT,Kasus Baru,Sembuh (baru),Meninggal (baru),Kasus (Kumulatif)
3/2/2020,2,,,2
3/3/2020,,,,2
3/4/2020,,,,2
3/5/2020,,,,2
3/6/2020,2,,,4
3/7/2020,,,,4
3/8/2020,2,,,6
3/9/2020,13,,,19
3/10/2020,8,,,27
3/11/2020,7,2,2,34
3/12/2020,,1,2,34
3/13/2020,35,2,,69
3/14/2020,27,3,1,96
3/15/2020,21,,,117
3/16/2020,17,,,134
3/17/2020,38,1,2,172
3/18/2020,55,2,12,227
3/19/2020,82,4,6,309
3/20/2020,60,1,7,369
3/21/2020,81,4,6,450
3/22/2020,64,9,10,514
3/23/2020,65,1,1,579
3/24/2020,106,,6,685
3/25/2020,105,1,3,790
3/26/2020,103,4,20,893
3/27/2020,153,11,9,1046
3/28/2020,109,13,15,1155
3/29/2020,130,5,12,1285
3/30/2020,129,11,8,1414
3/31/2020,114,6,14,1528
4/1/2020,149,22,21,1677
4/2/2020,113,9,13,1790
4/3/2020,196,22,11,1986
4/4/2020,106,16,10,2092
4/5/2020,181,14,7,2273
4/6/2020,218,28,11,2491
4/7/2020,247,12,12,2738
4/8/2020,218,18,19,2956
4/9/2020,337,30,40,3293
4/10/2020,219,30,26,3512
4/11/2020,330,4,21,3842
4/12/2020,399,73,46,4241
4/13/2020,316,21,26,4557
4/14/2020,282,46,60,4839
4/15/2020,297,20,10,5136
4/16/2020,380,102,27,5516
4/17/2020,407,59,24,5923
4/18/2020,325,24,15,6248
4/19/2020,327,55,47,6575
4/20/2020,185,61,8,6760
4/21/2020,375,95,26,7135
4/22/2020,283,71,20,7418
4/23/2020,357,47,11,7775
4/24/2020,436,42,42,8211
4/25/2020,396,40,31,8607
4/26/2020,275,65,23,8882
4/27/2020,214,44,22,9096
4/28/2020,415,103,8,9511
4/29/2020,260,137,11,9771
4/30/2020,347,131,8,10118
