DT,Kasus Baru,Sembuh (baru),Meninggal (baru),Kasus (Kumulatif),Sembuh Kumulatif,Meninggal Kumulatif,rate penambahan ina
3/2/2020,2,0,0,2,0,0,1
3/3/2020,2,0,0,2,0,0,1
3/4/2020,2,0,0,2,0,0,1
3/5/2020,2,0,0,2,0,0,1
3/6/2020,2,0,0,4,0,0,0.5
3/7/2020,2,0,0,4,0,0,0.5
3/8/2020,2,0,0,6,0,0,0.333333333
3/9/2020,13,0,0,19,0,0,0.684210526
3/10/2020,8,0,0,27,0,0,0.296296296
3/11/2020,7,2,2,34,2,2,0.205882353
3/12/2020,7,1,2,34,3,4,0.205882353
3/13/2020,35,2,0,69,5,4,0.507246377
3/14/2020,27,3,1,96,8,5,0.28125
3/15/2020,21,0,0,117,8,5,0.179487179
3/16/2020,17,0,0,134,8,5,0.126865672
3/17/2020,38,1,2,172,9,7,0.220930233
3/18/2020,55,2,12,227,11,19,0.242290749
3/19/2020,82,4,6,309,15,25,0.265372168
3/20/2020,60,1,7,369,16,32,0.162601626
3/21/2020,81,4,6,450,20,38,0.18
3/22/2020,64,9,10,514,29,48,0.124513619
3/23/2020,65,1,1,579,30,49,0.112262522
3/24/2020,106,0,6,685,30,55,0.154744526
3/25/2020,105,1,3,790,31,58,0.132911392
3/26/2020,103,4,20,893,35,78,0.115341545
3/27/2020,153,11,9,1046,46,87,0.146271511
3/28/2020,109,13,15,1155,59,102,0.094372294
3/29/2020,130,5,12,1285,64,114,0.101167315
3/30/2020,129,11,8,1414,75,122,0.091230552
3/31/2020,114,6,14,1528,81,136,0.07460733
4/1/2020,149,22,21,1677,103,157,0.088849135
4/2/2020,113,9,13,1790,112,170,0.063128492
4/3/2020,196,22,11,1986,134,181,0.098690836
4/4/2020,106,16,10,2092,150,191,0.050669216
4/5/2020,181,14,7,2273,164,198,0.079630444
4/6/2020,218,28,11,2491,192,209,0.087515054
4/7/2020,247,12,12,2738,204,221,0.090211833
4/8/2020,218,18,19,2956,222,240,0.073748309
4/9/2020,337,30,40,3293,252,280,0.102338293
4/10/2020,219,30,26,3512,282,306,0.062357631
4/11/2020,330,4,21,3842,286,327,0.085892764
4/12/2020,399,73,46,4241,359,373,0.094081585
4/13/2020,316,21,26,4557,380,399,0.069343867
4/14/2020,282,46,60,4839,426,459,0.058276503
4/15/2020,297,20,10,5136,446,469,0.057827103
4/16/2020,380,102,27,5516,548,496,0.0688905
4/17/2020,407,59,24,5923,607,520,0.068715178
4/18/2020,325,24,15,6248,631,535,0.052016645
4/19/2020,327,55,47,6575,686,582,0.04973384
4/20/2020,185,61,8,6760,747,590,0.027366864
4/21/2020,375,95,26,7135,842,616,0.052557814
4/22/2020,283,71,20,7418,913,636,0.038150445
4/23/2020,357,47,11,7775,960,647,0.045916399
4/24/2020,436,42,42,8211,1002,689,0.053099501
4/25/2020,396,40,31,8607,1042,720,0.046009062
4/26/2020,275,65,23,8882,1107,743,0.030961495
4/27/2020,214,44,22,9096,1151,765,0.023526825
4/28/2020,415,103,8,9511,1254,773,0.043633687
4/29/2020,260,137,11,9771,1391,784,0.026609354
4/30/2020,347,131,8,10118,1522,792,0.034295315
